No,BG,DM,DS,LM,LS,,
1,Light Forest,11,17,18,6,,
2,Dark Forest,9,3,6,9,,Legend
3,Dark Forest,5,5,3,10,,BG= background 
4,Light Forest,7,8,9,5,,DM= Dark Moving 
5,Dark Forest,2,7,4,11,,DS= Dark Stationary 
6,Light Forest,17,4,15,2,,LM= Light Moving 
7,Light Forest,2,7,2,6,,LS=Light Stationary
8,Dark Forest,7,6,9,5,,
9,Light Forest,3,14,4,15,,
10,Dark Forest,5,6,2,13,,
11,Dark Forest,15,13,13,13,,
12,Light Forest,5,9,5,7,,
13,Light Forest,2,20,8,2,,
14,Light Forest,14,8,11,7,,
15,Dark Forest,15,2,26,6,,
16,Dark Forest,9,3,7,30,,
17,Light Forest,8,18,8,5,,
18,Dark Forest,0,10,8,11,,
19,Dark Forest,5,4,8,9,,
20,Dark Forest,19,6,24,12,,
21,Dark Forest,9,6,11,9,,
22,Dark Forest,8,2,4,8,,
23,Light Forest,4,20,8,11,,
24,Light Forest,0,16,0,10,,
25,Light Forest,26,6,0,0,,
26,Light Forest,2,9,2,0,,
27,Light Forest,15,17,11,5,,
28,Dark Forest,8,2,15,6,,
29,Light Forest,11,9,9,7,,
30,Dark Forest,8,6,2,18,,
31,Light Forest,7,2,9,9,,
32,Light Forest,0,10,2,1,,
33,Light Forest,4,7,6,0,,
34,Light Forest,10,7,13,5,,
35,Light Forest,10,3,3,2,,
36,Light Forest,8,11,7,9,,
37,Dark Forest,10,9,12,13,,
38,Light Forest,1,9,4,2,,
39,Dark Forest,21,2,20,14,,
40,Dark Forest,6,4,12,11,,
41,Dark Forest,5,4,3,15,,
42,Dark Forest,8,16,8,20,,
43,Dark Forest,8,9,9,5,,
44,Light Forest,10,11,20,4,,
45,Light Forest,12,8,11,0,,
46,Dark Forest,2,1,22,7,,
47,Dark Forest,0,3,0,15,,
48,Dark Forest,16,4,7,15,,
49,Dark Forest,13,10,14,15,,
50,Dark Forest,13,10,14,15,,
51,Light Forest,12,8,9,3,,
52,Light Forest,11,16,3,7,,
53,Light Forest,7,2,9,9,,
54,Light Forest,15,14,16,10,,
55,Dark Forest,12,2,13,13,,
56,Light Forest,3,23,4,10,,
57,Light Forest,13,11,3,4,,
58,Light Forest,18,16,8,2,,
59,Dark Forest,8,4,18,14,,
60,Light Forest,18,12,10,0,,
61,Light Forest,20,9,19,3,,
62,Dark Forest,12,2,3,14,,
63,Light Forest,15,18,O,O,,
64,Dark Forest,20,4,17,1,,
65,Light Forest,25,15,3,1,,
66,Dark Forest,6,3,20,7,,
67,Dark Forest,9,18,14,18,,
68,Light Forest,29,6,27,4,,
69,Light Forest,6,15,6,14,,
70,Dark Forest,24,2,31,6,,
71,Light Forest,28,12,15,6,,
72,Light Forest,33,4,27,3,,
73,Dark Forest,3,1,3,12,,
74,Dark Forest,12,6,10,10,,
75,Dark Forest,11,1,11,8,,
76,Light Forest,7,9,4,1,,
