nm,Abs,
700.00,  0.008,
698.00,  0.008,
696.00,  0.008,
694.00,  0.009,
692.00,  0.009,
690.00,  0.010,
688.00,  0.010,
686.00,  0.010,
684.00,  0.011,
682.00,  0.011,
680.00,  0.012,
678.00,  0.012,
676.00,  0.012,
674.00,  0.013,
672.00,  0.013,
670.00,  0.014,
668.00,  0.014,
666.00,  0.015,
664.00,  0.015,
662.00,  0.016,
660.00,  0.016,
658.00,  0.017,
656.00,  0.017,
654.00,  0.018,
652.00,  0.018,
650.00,  0.019,
648.00,  0.019,
646.00,  0.020,
644.00,  0.020,
642.00,  0.021,
640.00,  0.021,
638.00,  0.022,
636.00,  0.022,
634.00,  0.022,
632.00,  0.023,
630.00,  0.023,
628.00,  0.024,
626.00,  0.024,
624.00,  0.024,
622.00,  0.025,
620.00,  0.025,
618.00,  0.025,
616.00,  0.026,
614.00,  0.026,
612.00,  0.027,
610.00,  0.027,
608.00,  0.028,
606.00,  0.029,
604.00,  0.030,
602.00,  0.030,
600.00,  0.031,
598.00,  0.032,
596.00,  0.033,
594.00,  0.035,
592.00,  0.037,
590.00,  0.040,
588.00,  0.044,
586.00,  0.050,
584.00,  0.058,
582.00,  0.069,
580.00,  0.083,
578.00,  0.099,
576.00,  0.116,
574.00,  0.132,
572.00,  0.145,
570.00,  0.153,
568.00,  0.157,
566.00,  0.158,
564.00,  0.158,
562.00,  0.159,
560.00,  0.163,
558.00,  0.172,
556.00,  0.188,
554.00,  0.209,
552.00,  0.232,
550.00,  0.253,
548.00,  0.268,
546.00,  0.274,
544.00,  0.271,
542.00,  0.262,
540.00,  0.251,
538.00,  0.242,
536.00,  0.238,
534.00,  0.241,
532.00,  0.251,
530.00,  0.265,
528.00,  0.277,
526.00,  0.283,
524.00,  0.280,
522.00,  0.268,
520.00,  0.252,
518.00,  0.234,
516.00,  0.220,
514.00,  0.212,
512.00,  0.210,
510.00,  0.212,
508.00,  0.214,
506.00,  0.212,
504.00,  0.207,
502.00,  0.194,
500.00,  0.178,
498.00,  0.162,
496.00,  0.150,
494.00,  0.142,
492.00,  0.138,
490.00,  0.135,
488.00,  0.131,
486.00,  0.124,
484.00,  0.115,
482.00,  0.104,
480.00,  0.094,
478.00,  0.085,
476.00,  0.080,
474.00,  0.076,
472.00,  0.072,
470.00,  0.068,
468.00,  0.063,
466.00,  0.058,
464.00,  0.052,
462.00,  0.047,
460.00,  0.044,
458.00,  0.041,
456.00,  0.039,
454.00,  0.037,
452.00,  0.034,
450.00,  0.032,
448.00,  0.029,
446.00,  0.028,
444.00,  0.026,
442.00,  0.025,
440.00,  0.024,
438.00,  0.023,
436.00,  0.022,
434.00,  0.022,
432.00,  0.021,
430.00,  0.021,
428.00,  0.021,
426.00,  0.021,
424.00,  0.020,
422.00,  0.020,
420.00,  0.021,
418.00,  0.021,
416.00,  0.022,
414.00,  0.022,
412.00,  0.023,
410.00,  0.024,
408.00,  0.025,
406.00,  0.027,
404.00,  0.029,
402.00,  0.031,
400.00,  0.029,
