nm,Abs,
700.00,  0.024,
698.00,  0.024,
696.00,  0.025,
694.00,  0.025,
692.00,  0.026,
690.00,  0.027,
688.00,  0.028,
686.00,  0.029,
684.00,  0.029,
682.00,  0.030,
680.00,  0.031,
678.00,  0.032,
676.00,  0.033,
674.00,  0.034,
672.00,  0.035,
670.00,  0.036,
668.00,  0.037,
666.00,  0.038,
664.00,  0.039,
662.00,  0.040,
660.00,  0.041,
658.00,  0.042,
656.00,  0.043,
654.00,  0.044,
652.00,  0.045,
650.00,  0.047,
648.00,  0.048,
646.00,  0.049,
644.00,  0.050,
642.00,  0.051,
640.00,  0.053,
638.00,  0.054,
636.00,  0.055,
634.00,  0.056,
632.00,  0.058,
630.00,  0.059,
628.00,  0.060,
626.00,  0.062,
624.00,  0.063,
622.00,  0.065,
620.00,  0.066,
618.00,  0.067,
616.00,  0.069,
614.00,  0.070,
612.00,  0.072,
610.00,  0.073,
608.00,  0.075,
606.00,  0.076,
604.00,  0.078,
602.00,  0.079,
600.00,  0.080,
598.00,  0.082,
596.00,  0.083,
594.00,  0.085,
592.00,  0.086,
590.00,  0.088,
588.00,  0.089,
586.00,  0.090,
584.00,  0.092,
582.00,  0.093,
580.00,  0.094,
578.00,  0.096,
576.00,  0.097,
574.00,  0.098,
572.00,  0.099,
570.00,  0.101,
568.00,  0.102,
566.00,  0.103,
564.00,  0.104,
562.00,  0.105,
560.00,  0.106,
558.00,  0.107,
556.00,  0.108,
554.00,  0.109,
552.00,  0.110,
550.00,  0.110,
548.00,  0.111,
546.00,  0.112,
544.00,  0.112,
542.00,  0.113,
540.00,  0.113,
538.00,  0.114,
536.00,  0.114,
534.00,  0.114,
532.00,  0.114,
530.00,  0.114,
528.00,  0.114,
526.00,  0.114,
524.00,  0.114,
522.00,  0.114,
520.00,  0.113,
518.00,  0.113,
516.00,  0.113,
514.00,  0.112,
512.00,  0.112,
510.00,  0.112,
508.00,  0.111,
506.00,  0.110,
504.00,  0.112,
502.00,  0.111,
500.00,  0.110,
498.00,  0.109,
496.00,  0.108,
494.00,  0.107,
492.00,  0.106,
490.00,  0.104,
488.00,  0.103,
486.00,  0.101,
484.00,  0.100,
482.00,  0.099,
480.00,  0.097,
478.00,  0.095,
476.00,  0.094,
474.00,  0.092,
472.00,  0.091,
470.00,  0.089,
468.00,  0.087,
466.00,  0.085,
464.00,  0.083,
462.00,  0.082,
460.00,  0.080,
458.00,  0.078,
456.00,  0.076,
454.00,  0.074,
452.00,  0.072,
450.00,  0.070,
448.00,  0.069,
446.00,  0.067,
444.00,  0.065,
442.00,  0.064,
440.00,  0.062,
438.00,  0.060,
436.00,  0.059,
434.00,  0.058,
432.00,  0.056,
430.00,  0.055,
428.00,  0.054,
426.00,  0.052,
424.00,  0.051,
422.00,  0.049,
420.00,  0.049,
418.00,  0.049,
416.00,  0.047,
414.00,  0.047,
412.00,  0.047,
410.00,  0.046,
408.00,  0.047,
406.00,  0.047,
404.00,  0.047,
402.00,  0.047,
400.00,  0.047,
