nm,Abs,
700.00,  0.045,
698.00,  0.046,
696.00,  0.047,
694.00,  0.049,
692.00,  0.050,
690.00,  0.052,
688.00,  0.053,
686.00,  0.055,
684.00,  0.056,
682.00,  0.058,
680.00,  0.059,
678.00,  0.061,
676.00,  0.063,
674.00,  0.065,
672.00,  0.066,
670.00,  0.068,
668.00,  0.070,
666.00,  0.072,
664.00,  0.074,
662.00,  0.076,
660.00,  0.078,
658.00,  0.080,
656.00,  0.082,
654.00,  0.084,
652.00,  0.086,
650.00,  0.088,
648.00,  0.091,
646.00,  0.093,
644.00,  0.095,
642.00,  0.098,
640.00,  0.100,
638.00,  0.102,
636.00,  0.105,
634.00,  0.107,
632.00,  0.110,
630.00,  0.112,
628.00,  0.115,
626.00,  0.118,
624.00,  0.120,
622.00,  0.123,
620.00,  0.126,
618.00,  0.128,
616.00,  0.131,
614.00,  0.134,
612.00,  0.136,
610.00,  0.139,
608.00,  0.142,
606.00,  0.145,
604.00,  0.147,
602.00,  0.150,
600.00,  0.153,
598.00,  0.156,
596.00,  0.158,
594.00,  0.161,
592.00,  0.164,
590.00,  0.166,
588.00,  0.169,
586.00,  0.172,
584.00,  0.174,
582.00,  0.177,
580.00,  0.179,
578.00,  0.182,
576.00,  0.184,
574.00,  0.186,
572.00,  0.189,
570.00,  0.191,
568.00,  0.193,
566.00,  0.195,
564.00,  0.198,
562.00,  0.200,
560.00,  0.202,
558.00,  0.203,
556.00,  0.205,
554.00,  0.207,
552.00,  0.208,
550.00,  0.210,
548.00,  0.211,
546.00,  0.212,
544.00,  0.214,
542.00,  0.214,
540.00,  0.215,
538.00,  0.216,
536.00,  0.217,
534.00,  0.217,
532.00,  0.217,
530.00,  0.217,
528.00,  0.217,
526.00,  0.217,
524.00,  0.217,
522.00,  0.217,
520.00,  0.216,
518.00,  0.216,
516.00,  0.215,
514.00,  0.215,
512.00,  0.214,
510.00,  0.213,
508.00,  0.212,
506.00,  0.210,
504.00,  0.215,
502.00,  0.214,
500.00,  0.212,
498.00,  0.210,
496.00,  0.209,
494.00,  0.207,
492.00,  0.204,
490.00,  0.202,
488.00,  0.200,
486.00,  0.197,
484.00,  0.194,
482.00,  0.191,
480.00,  0.189,
478.00,  0.186,
476.00,  0.183,
474.00,  0.180,
472.00,  0.176,
470.00,  0.173,
468.00,  0.170,
466.00,  0.167,
464.00,  0.163,
462.00,  0.160,
460.00,  0.157,
458.00,  0.153,
456.00,  0.149,
454.00,  0.146,
452.00,  0.143,
450.00,  0.140,
448.00,  0.137,
446.00,  0.133,
444.00,  0.131,
442.00,  0.128,
440.00,  0.125,
438.00,  0.122,
436.00,  0.120,
434.00,  0.117,
432.00,  0.115,
430.00,  0.112,
428.00,  0.110,
426.00,  0.108,
424.00,  0.107,
422.00,  0.104,
420.00,  0.104,
418.00,  0.103,
416.00,  0.101,
414.00,  0.101,
412.00,  0.101,
410.00,  0.101,
408.00,  0.101,
406.00,  0.102,
404.00,  0.103,
402.00,  0.105,
400.00,  0.105,
