Distance traveled in x(mm),Photocurrent (uA),Distance traveled in y (mm),Photocurrent (uA)
0,2.5,0,0
0.5,3,0.5,0
1,3.7,1,0
1.5,4.2,1.5,0
2,4.6,2,0
2.5,5.3,2.5,0
3,5.9,3,0
3.5,7.2,3.5,0
4,8.7,4,0
4.5,10.6,4.5,0
5,13,5,0
5.5,18.8,5.5,0
6,25.1,6,0
6.5,39,6.5,0
7,54.4,7,0
7.5,63.6,7.5,0
8,82.5,8,0.1
8.5,101.6,8.5,0.1
9,131.5,9,0.1
9.5,151.4,9.5,0.3
10,155.3,10,0.5
10.5,157.4,10.5,0.9
11,156.2,11,2
11.5,169.1,11.5,3.9
12,159.4,12,6.4
12.5,165.4,12.5,9.7
13,171.2,13,14.2
13.5,166.9,13.5,21.3
14,177.6,14,26.6
14.5,175.9,14.5,33.4
15,169.8,15,41.7
15.5,162.6,15.5,51.3
16,157.5,16,62.8
16.5,151.3,16.5,76.1
17,149.1,17,96
17.5,129,17.5,107.4
18,107.1,18,128.5
18.5,88.5,18.5,148.8
19,70.8,19,153.4
19.5,46.8,19.5,171.2
20,28,20,173
20.5,19.3,20.5,178.3
21,14.2,21,177
21.5,11.6,21.5,160.8
22,9.5,22,143.4
22.5,8,22.5,124.4
23,6.8,23,106.6
23.5,5.7,23.5,90.3
24,,24,64.7
24.5,,24.5,45
25,,25,26.7
25.5,,25.5,26.1
