Distance traveled in x-direction,,intensity in x,Distance traveled in y-direction,,intensity in y
msr,csr,,msr,csr,
0,,4.9,0,,1.3
0,,4.8,0,,1.4
1,,5.2,1,,1.5
1,,5.2,1,,1.6
2,,5.2,2,,1.8
2,,5.1,2,,2.1
3,,5.2,3,,2.3
3,,5,3,,2.5
4,,5,4,,2.8
4,,4.9,4,,3
5,,5,5,0,3.4
5,,5,5,50,3.9
6,,5.1,6,0,4.4
6,,5.2,6,50,4.8
7,,5.3,7,0,5.4
7,,5.2,7,50,5.7
8,,5.3,8,,6
8,,5.2,8,,6.4
9,,6,9,,6.9
9,,6.1,9,,7.2
10,,6.5,10,,7.7
10,,6.8,10,,7.8
11,,7.3,11,,8.6
11,,7.8,11,,9.4
12,,8.3,12,,10.1
12,,9,12,,10.7
13,,9,13,,10.9
13,,8.7,13,,10.8
14,,9.2,14,,10.9
14,,9.2,14,,11
15,,9.6,15,,11.2
15,,9.7,15,,11.8
16,,9.4,16,,11.9
16,,9.4,16,,12.1
17,,9.5,17,,12.1
17,,9.5,17,,11.9
18,,9.5,18,,11.9
18,,9.9,18,,11.8
19,,9.9,19,,11.9
19,,9.9,19,,11.5
20,,9.8,20,,11.2
20,,9.8,20,,10.7
21,,9.8,21,,10.2
21,,9.9,21,,9.6
22,,9.6,22,,9.1
22,,9.6,22,,8.8
23,,9.6,23,,8.7
23,,9.6,23,,8.7
24,,9.4,24,,8.5
24,,9.4,24,,8.1
25,,9.5,25,,7.5
25,,9.5,25,,7.6
