time;V(Net-_U2-VO_);
0;2.17159e-21;
1e-05;2.99181e-21;
2e-05;7.90389e-21;
4e-05;5.41117e-20;
8e-05;3.4705e-18;
0.0001344;6.46542e-16;
0.000186574;7.18851e-14;
0.000238165;7.73845e-12;
0.000290913;9.33359e-10;
0.000343518;4.8749e-08;
0.00039675;2.46299e-07;
0.000460257;5.35758e-07;
0.000527624;7.81611e-07;
0.000597886;1.00983e-06;
0.000692227;1.26441e-06;
0.000797837;1.62309e-06;
0.000908098;6.99288e-06;
0.00101671;1.66315e-05;
0.00113558;0.000119116;
0.0012513;0.202241;
0.00134059;1.44162;
0.00134264;1.49268;
0.00134673;1.59754;
0.00135491;1.82736;
0.00136123;2.38365;
0.0013663;2.83916;
0.0013684;2.89886;
0.00137018;2.93701;
0.001372;2.96831;
0.00137387;2.99482;
0.001376;3.02024;
0.00137961;3.05578;
0.00138684;3.11028;
0.0013975;3.17104;
0.00141454;3.25124;
0.00144109;3.36517;
0.00149418;3.58754;
0.00160037;4.02689;
0.00181273;4.88088;
0.00209568;5.00843;
0.0022749;4.9968;
0.00245396;5.00916;
0.00268247;4.99616;
0.00313949;5.00956;
0.00389805;4.99596;
0.00489805;5.00969;
0.00589805;4.99585;
0.00689805;5.00979;
0.00789805;4.99575;
0.00889805;5.0099;
0.00989805;4.99564;
0.010898;5.01;
0.011898;4.99554;
0.012898;5.0101;
0.013898;4.99544;
0.014898;5.0102;
0.015898;4.99534;
0.016898;5.0103;
0.017898;4.99525;
0.018898;5.01038;
0.019898;4.99516;
0.020898;5.01047;
0.021898;4.99508;
0.022898;5.01056;
0.023898;4.995;
0.024898;5.01064;
0.025898;4.99492;
0.026898;5.01072;
0.027898;4.99484;
0.028898;5.01079;
0.029898;4.99477;
0.030898;5.01086;
0.031898;4.9947;
0.032898;5.01092;
0.033898;4.99464;
0.034898;5.01099;
0.035898;4.99458;
0.036898;5.01104;
0.037898;4.99453;
0.038898;5.01109;
0.039898;4.99448;
0.040898;5.01114;
0.041898;4.99443;
0.042898;5.01118;
0.043898;4.99439;
0.044898;5.01123;
0.045898;4.99434;
0.046898;5.01128;
0.047898;4.9943;
0.048898;5.01131;
0.049898;4.99426;
0.050898;5.01135;
0.051898;4.99422;
0.052898;5.01138;
0.053898;4.9942;
0.054898;5.01141;
0.055898;4.99417;
0.056898;5.01144;
0.057898;4.99414;
0.058898;5.01146;
0.059898;4.99412;
0.060898;5.01147;
0.061898;4.99411;
0.062898;5.01149;
0.063898;4.9941;
